Number,SMILES,IUPAC name,Name,MW
199,COC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC(=C1)[N+]([O-])=O)C(=O)OCCCN1CCC(CC1)(C1=CC=CC=C1)C1=CC=CC=C1,"3-[3-(4,4-diphenylpiperidin-1-yl)propyl] 5-methyl 2,6-dimethyl-4-(3-nitrophenyl)-1,4-dihydropyridine-3,5-dicarboxylate",Niguldipine ,609.7
200,Cl.Cl.FC1=CC=C(C=C1)C(N1CCN(C\C=C\C2=CC=CC=C2)CC1)C1=CC=C(F)C=C1,1-[bis(4-fluorophenyl)methyl]-4-[(2E)-3-phenylprop-2-en-1-yl]piperazine dihydrochloride,Flunarizine 2,477.4
201,NCC1(CC(O)=O)CCCCC1,2-[1-(aminomethyl)cyclohexyl]acetic acid,Gabapentin,171.2
202,CCOC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC(Cl)=C1Cl)C(=O)OC,"3-ethyl 5-methyl 4-(2,3-dichlorophenyl)-2,6-dimethyl-1,4-dihydropyridine-3,5-dicarboxylate",Felodipine,384.3
203,COCCOC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC(=C1)[N+]([O-])=O)C(=O)OC\C=C\C1=CC=CC=C1,"3-(2-methoxyethyl) 5-(2E)-3-phenylprop-2-en-1-yl 2,6-dimethyl-4-(3-nitrophenyl)-1,4-dihydropyridine-3,5-dicarboxylate",Cilnidipine,492.5
204,Cl.CC(COC1=CC=CC=C1)N(CCCl)CC1=CC=CC=C1,benzyl(2-chloroethyl)(1-phenoxypropan-2-yl)amine hydrochloride,Phenoxybenzamine ,340.3
205,Cl.Cl.CN1CCN(CCCN2C3=CC(=CC=C3SC3=C2C=CC=C3)C(F)(F)F)CC1,10-[3-(4-methylpiperazin-1-yl)propyl]-2-(trifluoromethyl)-10H-phenothiazine dihydrochloride,Trifluoperazine 2,480.4
206,CCCCN1C2=C(N(CC(C)=O)C=N2)C(=O)N(CCCC)C1=O,"1,3-dibutyl-7-(2-oxopropyl)-2,3,6,7-tetrahydro-1H-purine-2,6-dione",Denbufylline,320.4
207,CCCCCCCCCCCCCCCCOP([O-])(=O)OCC[N+](C)(C)C,hexadecyl 2-(trimethylazaniumyl)ethyl phosphate,Miltefosine,407.6
208,CC(C)OC(=O)CCC\C=C/C[C@H]1[C@@H](O)C[C@@H](O)[C@@H]1CC[C@@H](O)CCC1=CC=CC=C1,"propan-2-yl (5Z)-7-[(1R,2R,3R,5S)-3,5-dihydroxy-2-[(3R)-3-hydroxy-5-phenylpentyl]cyclopentyl]hept-5-enoate",Latanoprost,432.6
209,[H][C@@]12CC[C@]3(O)C[C@H](C[C@@H](O)[C@]3(CO)[C@@]1([H])[C@H](O)C[C@]1(C)[C@H](CC[C@]21O)C1=CC(=O)OC1)O[C@@H]1O[C@@H](C)[C@H](O)[C@@H](O)[C@H]1O,"4-[(1S,2R,3R,5S,7S,10R,11S,14R,15R,17R)-3,7,11,17-tetrahydroxy-2-(hydroxymethyl)-15-methyl-5-{[(2R,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxy}tetracyclo[8.7.0.0_,_.0__,__]heptadecan-14-yl]-2,5-dihydrofuran-2-one",Ouabain,584.7
210,C[C@H]1CCC[C@@H](C)N1NC(=O)C1=CC=C(Cl)C(=C1)S(N)(=O)=O,"4-chloro-N-[(2R,6S)-2,6-dimethylpiperidin-1-yl]-3-sulfamoylbenzamide",Clopamide,345.8
211,CCOC(=O)\N=C1/O[N-][N+](=C1)N1CCOCC1,"(5Z)-5-[(ethoxycarbonyl)imino]-3-(morpholin-4-yl)-2,5-dihydro-1,2,3__-oxadiazol-3-ylium-2-ide",Molsidomine,242.2
212,COC1=CC=C(C=C1)C(=O)C1=C(C)N(CCN2CCOCC2)C2=C1C=CC=C2,3-(4-methoxybenzoyl)-2-methyl-1-[2-(morpholin-4-yl)ethyl]-1H-indole,Pravadoline,378.5
213,COC1=CC=C(\C=C\C(=O)NC2=C(C=CC=C2)C(O)=O)C=C1OC,"2-[(2E)-3-(3,4-dimethoxyphenyl)prop-2-enamido]benzoic acid",Tranilast,327.3
214,COC1=CC2=NC(=NC(N)=C2C=C1OC)N(C)CCCNC(=O)C1CCCO1,"N-{3-[(4-amino-6,7-dimethoxyquinazolin-2-yl)(methyl)amino]propyl}oxolane-2-carboxamide",Alfuzosin,389.4
215,CS(O)(=O)=O.[H][C@@]12CCCN1C(=O)[C@H](CC(C)C)N1C(=O)[C@](NC(=O)[C@H]3CN(C)C4CC5=C(Br)NC6=C5C(=CC=C6)C4=C3)(O[C@@]21O)C(C)C,"(4R)-10-bromo-N-[(1S,2S,4R,7S)-2-hydroxy-7-(2-methylpropyl)-5,8-dioxo-4-(propan-2-yl)-3-oxa-6,9-diazatricyclo[7.3.0.0_,_]dodecan-4-yl]-6-methyl-6,11-diazatetracyclo[7.6.1.0_,_.0__,__]hexadeca-1(15),2,9,12(16),13-pentaene-4-carboxamide; methanesulfonic acid",Bromocriptine mesylate,750.7
216,CN1CCN(CC1)C1=NC2=C(NC3=C1C=CC=C3)C=CC(Cl)=C2,"6-chloro-10-(4-methylpiperazin-1-yl)-2,9-diazatricyclo[9.4.0.0_,_]pentadeca-1(11),3(8),4,6,9,12,14-heptaene",Clozapine,326.8
217,CN1CCN(CC1)C1=NC2=C(SC3=C1C=C(Cl)C=C3)C=CC=C2,"13-chloro-10-(4-methylpiperazin-1-yl)-2-thia-9-azatricyclo[9.4.0.0_,_]pentadeca-1(11),3(8),4,6,9,12,14-heptaene",Clothiapine,343.9
218,COC1=CC(C)=C(\C=C\C(\C)=C\C=C\C(\C)=C\C(O)=O)C(C)=C1C,"(2E,4E,6E,8E)-9-(4-methoxy-2,3,6-trimethylphenyl)-3,7-dimethylnona-2,4,6,8-tetraenoic acid",Acitretin,326.4
219,CCN1CCC[C@H]1CNC(=O)C1=C(OC)C=CC(Br)=C1OC,"3-bromo-N-{[(2S)-1-ethylpyrrolidin-2-yl]methyl}-2,6-dimethoxybenzamide",Remoxipride ,371.3
220,[H][C@@]12CC[C@H]([C@H](C)CCCC(C)(C)O)[C@@]1(C)CCC\C2=C/C=C1/C[C@@H](O)CCC1=C,"(1S,3Z)-3-{2-[(1R,3aS,4E,7aR)-1-[(2R)-6-hydroxy-6-methylheptan-2-yl]-7a-methyl-octahydro-1H-inden-4-ylidene]ethylidene}-4-methylidenecyclohexan-1-ol",Calcifediol,400.6
221,[H][C@@]12CC[C@H]([C@H](C)CCCC(C)(C)O)[C@@]1(C)CCC\C2=C/C=C1/C[C@@H](O)C[C@H](O)C1=C,"(1R,3S,5Z)-5-{2-[(1R,3aS,4E,7aR)-1-[(2R)-6-hydroxy-6-methylheptan-2-yl]-7a-methyl-octahydro-1H-inden-4-ylidene]ethylidene}-4-methylidenecyclohexane-1,3-diol",Calcitriol,416.6
222,CC(=O)N1CCN(CC1)C1=CC=C(OC[C@H]2CO[C@@](CN3C=CN=C3)(O2)C2=CC=C(Cl)C=C2Cl)C=C1,"1-[4-(4-{[(2R,4S)-2-(2,4-dichlorophenyl)-2-(1H-imidazol-1-ylmethyl)-1,3-dioxolan-4-yl]methoxy}phenyl)piperazin-1-yl]ethan-1-one",Ketoconazole,531.4
223,O=C1NC2=C(C=CC=C2)N1CCCN1CCN(CC1)C(C1=CC=CC=C1)C1=CC=CC=C1,"1-{3-[4-(diphenylmethyl)piperazin-1-yl]propyl}-2,3-dihydro-1H-1,3-benzodiazol-2-one",Oxatomide,426.6
224,[Na+].[Na+].OC(COC1=CC=CC2=C1C(=O)C=C(O2)C([O-])=O)COC1=CC=CC2=C1C(=O)C=C(O2)C([O-])=O,disodium 5-{3-[(2-carboxylato-4-oxo-4H-chromen-5-yl)oxy]-2-hydroxypropoxy}-4-oxo-4H-chromene-2-carboxylate,Disodium Cromoglycate,512.3
225,COC1=C(O)C=CC(CNC(=O)CCCC\C=C\C(C)C)=C1,(6E)-N-[(4-hydroxy-3-methoxyphenyl)methyl]-8-methylnon-6-enamide,Capsaicin,305.4
226,[H][C@@]12C[C@@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,"(1R,2S,10S,11S,13R,14R,15S,17S)-1-fluoro-14,17-dihydroxy-14-(2-hydroxyacetyl)-2,13,15-trimethyltetracyclo[8.7.0.0_,_.0__,__]heptadeca-3,6-dien-5-one",Dexamethasone,392.5
227,OCCN(CCO)C1=NC(N2CCCCC2)=C2N=C(N=C(N3CCCCC3)C2=N1)N(CCO)CCO,"2-({6-[bis(2-hydroxyethyl)amino]-4,8-bis(piperidin-1-yl)pyrimido[5,4-d][1,3]diazin-2-yl}(2-hydroxyethyl)amino)ethan-1-ol",Dipyridamole,504.6
228,CCC(=C)C(=O)C1=C(Cl)C(Cl)=C(OCC(O)=O)C=C1,"2-[2,3-dichloro-4-(2-methylidenebutanoyl)phenoxy]acetic acid",Ethacrynic Acid,303.1
229,COC1=CC2=C(C=C1)N(C(=O)C1=CC=C(Cl)C=C1)C(C)=C2CC(O)=O,2-[1-(4-chlorobenzoyl)-5-methoxy-2-methyl-1H-indol-3-yl]acetic acid,Indomethacin,357.8
230,COC1=CC2=CC=C(C=C2C=C1)[C@H](C)C(O)=O,(2S)-2-(6-methoxynaphthalen-2-yl)propanoic acid,Naproxen,230.3
231,CCOC(=O)C(C)(C)OC1=CC=C(Cl)C=C1,ethyl 2-(4-chlorophenoxy)-2-methylpropanoate,Clofibrate,242.7
232,CC(C)CC1=CC=C(C=C1)C(C)C(O)=O,2-[4-(2-methylpropyl)phenyl]propanoic acid,Ibuprofen,206.3
233,NC(CO)C(=O)NNCC1=C(O)C(O)=C(O)C=C1,"2-amino-3-hydroxy-N'-[(2,3,4-trihydroxyphenyl)methyl]propanehydrazide",Benserazide ,257.2
234,NC(=N)N1CCC2=C(C1)C=CC=C2,"1,2,3,4-tetrahydroisoquinoline-2-carboximidamide",Debrisoquin ,175.2
235,CC(=O)NC1=CC=C(CC(O)=O)C=C1,2-(4-acetamidophenyl)acetic acid,Actarit,193.2
236,CCCCNC1=C(OC2=CC=CC=C2)C(=CC(=C1)C(O)=O)S(N)(=O)=O,3-(butylamino)-4-phenoxy-5-sulfamoylbenzoic acid,Bumetanide,364.4
237,NC[C@@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@@H](O[C@@H]3[C@@H](O)[C@H](N)C[C@H](N)[C@H]3O[C@H]3O[C@H](CN)[C@@H](O)[C@H](O)[C@H]3N)[C@@H]2O)[C@H](N)[C@@H](O)[C@@H]1O,"(2S,3S,4R,5R,6R)-5-amino-2-(aminomethyl)-6-{[(2R,3S,4R,5S)-5-{[(1R,2R,3S,5R,6S)-3,5-diamino-2-{[(2R,3R,4R,5S,6R)-3-amino-6-(aminomethyl)-4,5-dihydroxyoxan-2-yl]oxy}-6-hydroxycyclohexyl]oxy}-4-hydroxy-2-(hydroxymethyl)oxolan-3-yl]oxy}oxane-3,4-diol",Neomycin ,614.6
238,CCP(CC)(CC)=[Au]S[C@@H]1O[C@H](COC(C)=O)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@H]1OC(C)=O,"[(2R,3R,4S,5R,6S)-3,4,5-tris(acetyloxy)-6-{[(triethyl__-phosphanylidene)aurio]sulfanyl}oxan-2-yl]methyl acetate",Auranofin,678.5
239,C[C@H](CS)C(=O)N1CCC[C@H]1C(O)=O,(2S)-1-[(2S)-2-methyl-3-sulfanylpropanoyl]pyrrolidine-2-carboxylic acid,Captopril,217.3
240,CC1=C(C)C(=O)C(CCCCC#CCCCC#CCO)=C(C)C1=O,"2-(12-hydroxydodeca-5,10-diyn-1-yl)-3,5,6-trimethylcyclohexa-2,5-diene-1,4-dione",Docebenone,326.4
241,N[C@H]1C[C@@H]1C1=CC=CC=C1,"(1S,2R)-2-phenylcyclopropan-1-amine",Tranylcypromine,133.2
242,CN1C(C(=O)NC2=NC=CC=C2)=C(O)C2=C(C=CC=C2)S1(=O)=O,"4-hydroxy-2-methyl-1,1-dioxo-N-(pyridin-2-yl)-2H-1__,2-benzothiazine-3-carboxamide",Piroxicam,331.3
243,Cl.[H][C@]12CN(C[C@@]1([H])NCCC2)C1=C(F)C=C2C(=O)C(=CN(C3CC3)C2=C1OC)C(O)=O,"7-[(4aS,7aS)-octahydro-1H-pyrrolo[3,4-b]pyridin-6-yl]-1-cyclopropyl-6-fluoro-8-methoxy-4-oxo-1,4-dihydroquinoline-3-carboxylic acid hydrochloride",Moxifloxacin ,437.9
244,CO[C@H]1C[C@H](O[C@H]2[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3OC(C)=O)N(C)C)[C@@H](C)C[C@@]3(CO3)C(=O)[C@H](C)[C@@H](OC(C)=O)[C@@H](C)[C@@H](C)OC(=O)[C@@H]2C)O[C@@H](C)[C@@H]1OC(C)=O,"(3R,5R,6S,7S,8R,11R,12S,13R,14S,15S)-14-{[(2S,3R,4S,6R)-3-(acetyloxy)-4-(dimethylamino)-6-methyloxan-2-yl]oxy}-12-{[(2R,4S,5S,6S)-5-(acetyloxy)-4-methoxy-6-methyloxan-2-yl]oxy}-5,7,8,11,13,15-hexamethyl-4,10-dioxo-1,9-dioxaspiro[2.13]hexadecan-6-yl acetate",Troleandomycin,814
245,C[C@@](CC1=CC(O)=C(O)C=C1)(NN)C(O)=O,"(2S)-3-(3,4-dihydroxyphenyl)-2-hydrazinyl-2-methylpropanoic acid",Carbidopa,226.2
246,CS(=O)(=O)NC1=C(OC2=CC=CC=C2)C=C(C=C1)[N+]([O-])=O,N-(4-nitro-2-phenoxyphenyl)methanesulfonamide,Nimesulide,308.3
247,CC(C(O)=O)C1=CC(=CC=C1)C(=O)C1=CC=CC=C1,2-(3-benzoylphenyl)propanoic acid,Ketoprofen,254.3
248,CN1C(C(=O)NC2=NC=C(C)S2)=C(O)C2=C(C=CC=C2)S1(=O)=O,"4-hydroxy-2-methyl-N-(5-methyl-1,3-thiazol-2-yl)-1,1-dioxo-2H-1__,2-benzothiazine-3-carboxamide",Meloxicam,351.4
249,CN(C\C=C\C#CC(C)(C)C)CC1=C2C=CC=CC2=CC=C1,"[(2E)-6,6-dimethylhept-2-en-4-yn-1-yl](methyl)(naphthalen-1-ylmethyl)amine",Terbinafine,291.4
250,[Na+].[O-]C(=O)CCCC1=CC=CC=C1,sodium 4-phenylbutanoate,Sodium Phenylbutyrate,186.2
251,C[N+](C)(C)[C@@H](CC1=CNC(S)=N1)C([O-])=O,(2S)-3-(2-sulfanyl-1H-imidazol-4-yl)-2-(trimethylazaniumyl)propanoate,Ergothioneine,229.3
252,NC1=C(Br)C=C(Br)C=C1CN[C@H]1CC[C@H](O)CC1,"(1r,4r)-4-{[(2-amino-3,5-dibromophenyl)methyl]amino}cyclohexan-1-ol",Ambroxol ,378.1
253,COC1=C(OC)C(=O)C(CCCCCCCCCCO)=C(C)C1=O,"2-(10-hydroxydecyl)-5,6-dimethoxy-3-methylcyclohexa-2,5-diene-1,4-dione",Idebenone,338.4
254,[H][C@]12[C@H](CCC=C1C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1)OC(=O)[C@@H](C)CC,"(1S,7S,8S,8aR)-8-{2-[(2R,4R)-4-hydroxy-6-oxooxan-2-yl]ethyl}-7-methyl-1,2,3,7,8,8a-hexahydronaphthalen-1-yl (2S)-2-methylbutanoate",Mevastatin,390.5
255,[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1)OC(=O)C(C)(C)CC,"(1S,3R,7S,8S,8aR)-8-{2-[(2R,4R)-4-hydroxy-6-oxooxan-2-yl]ethyl}-3,7-dimethyl-1,2,3,7,8,8a-hexahydronaphthalen-1-yl 2,2-dimethylbutanoate",Simvastatin,418.6
256,CC1=C(NC(=O)C2=CC(NC(=O)NC3=CC(=CC=C3)C(=O)NC3=C(C)C=CC(=C3)C(=O)NC3=CC=C(C4=C3C(=CC(=C4)S([O-])(=O)=O)S([O-])(=O)=O)S([O-])(=O)=O)=CC=C2)C=C(C=C1)C(=O)NC1=CC=C(C2=C1C(=CC(=C2)S([O-])(=O)=O)S([O-])(=O)=O)S([O-])(=O)=O,"8-{4-methyl-3-[3-({[3-({2-methyl-5-[(4,6,8-trisulfonatonaphthalen-1-yl)carbamoyl]phenyl}carbamoyl)phenyl]carbamoyl}amino)benzamido]benzamido}naphthalene-1,3,5-trisulfonate",Suramin ,1291.2
257,CC(C)C[C@H](NC(=O)[C@@H](COC(C)(C)C)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CNC2=C1C=CC=C2)NC(=O)[C@H](CC1=CNC=N1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N1CCC[C@H]1C(=O)NNC(N)=O,(2S)-1-[(2S)-2-[(2S)-2-[(2R)-3-(tert-butoxy)-2-[(2S)-2-[(2S)-3-hydroxy-2-[(2S)-2-[(2S)-3-(1H-imidazol-4-yl)-2-{[(2S)-5-oxopyrrolidin-2-yl]formamido}propanamido]-3-(1H-indol-3-yl)propanamido]propanamido]-3-(4-hydroxyphenyl)propanamido]propanamido]-4-methylpentanamido]-5-carbamimidamidopentanoyl]-N-(carbamoylamino)pyrrolidine-2-carboxamide,Goserelin ,1269.4
258,COC1=C(O)C=CC=C1,2-methoxyphenol,Guaiacol,124.1
259,C\C(\C=C\C1=C(C)CCCC1(C)C)=C/C=C/C(/C)=C/C(O)=O,"(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohex-1-en-1-yl)nona-2,4,6,8-tetraenoic acid",Retinoic Acid,300.4
260,CC1=C(C)C2=C(CCC(C)(COC3=CC=C(CC4SC(=O)NC4=O)C=C3)O2)C(C)=C1O,"5-({4-[(6-hydroxy-2,5,7,8-tetramethyl-3,4-dihydro-2H-1-benzopyran-2-yl)methoxy]phenyl}methyl)-1,3-thiazolidine-2,4-dione",Troglitazone,441.5
261,CC(C)(OC1=CC=C(CCNC(=O)C2=CC=C(Cl)C=C2)C=C1)C(O)=O,2-(4-{2-[(4-chlorophenyl)formamido]ethyl}phenoxy)-2-methylpropanoic acid,Bezafibrate,361.8
262,OC1=CC=C(C=C1)C1=C(C(=O)C2=CC=C(OCCN3CCCCC3)C=C2)C2=C(S1)C=C(O)C=C2,2-(4-hydroxyphenyl)-3-{4-[2-(piperidin-1-yl)ethoxy]benzoyl}-1-benzothiophen-6-ol,Raloxifene ,473.6
263,CC[C@@]1(O)C(=O)OCC2=C1C=C1N(CC3=CC4=C(C=CC=C4)N=C13)C2=O,"(19S)-19-ethyl-19-hydroxy-17-oxa-3,13-diazapentacyclo[11.8.0.0_,__.0_,_.0__,__]henicosa-1(21),2,4(9),5,7,10,15(20)-heptaene-14,18-dione",Camptothecin,348.4
264,[H][C@]1(CC2=C(C(O)=C3C(O)=C(C)C(O[C@H]4C[C@@H](O[C@H]5C[C@@H](O)[C@H](O)[C@@H](C)O5)[C@@H](O)[C@@H](C)O4)=CC3=C2)C(=O)[C@H]1O[C@H]1C[C@@H](O[C@H]2C[C@@H](O[C@H]3C[C@](C)(O)[C@H](O)[C@@H](C)O3)[C@H](O)[C@@H](C)O2)[C@H](O)[C@@H](C)O1)[C@H](OC)C(=O)[C@@H](O)[C@@H](C)O,"(2S,3S)-3-[(1S,3S,4R)-3,4-dihydroxy-1-methoxy-2-oxopentyl]-2-{[(2S,4R,5R,6R)-4-{[(2S,4R,5R,6R)-4-{[(2S,4S,5R,6R)-4,5-dihydroxy-4,6-dimethyloxan-2-yl]oxy}-5-hydroxy-6-methyloxan-2-yl]oxy}-5-hydroxy-6-methyloxan-2-yl]oxy}-6-{[(2S,4R,5S,6R)-4-{[(2S,4R,5S,6R)-4,5-dihydroxy-6-methyloxan-2-yl]oxy}-5-hydroxy-6-methyloxan-2-yl]oxy}-8,9-dihydroxy-7-methyl-1,2,3,4-tetrahydroanthracen-1-one",Plicamycin,1085.1
265,CO[C@H]1\C=C\O[C@@]2(C)OC3=C(C2=O)C2=C(O)C(\C=N\N4CCN(C)CC4)=C(NC(=O)\C(C)=C/C=C/[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)C(O)=C2C(O)=C3C,"(7S,9E,11S,12R,13S,14R,15R,16R,17S,18S,19E,21Z)-2,15,17,27,29-pentahydroxy-11-methoxy-3,7,12,14,16,18,22-heptamethyl-26-[(E)-N-(4-methylpiperazin-1-yl)carboximidoyl]-6,23-dioxo-8,30-dioxa-24-azatetracyclo[23.3.1.1_,_.0_,__]triaconta-1(29),2,4,9,19,21,25,27-octaen-13-yl acetate",Rifampicin,822.9
266,[H][C@]12COC(=O)[C@]1([H])[C@H](C1=CC(OC)=C(O)C(OC)=C1)C1=C(C=C3OCOC3=C1)[C@H]2O[C@@H]1O[C@@H]2CO[C@@H](C)O[C@H]2[C@H](O)[C@H]1O,"(10R,11R,15R,16S)-16-{[(2R,4aR,6R,7R,8R,8aS)-7,8-dihydroxy-2-methyl-hexahydro-2H-pyrano[3,2-d][1,3]dioxin-6-yl]oxy}-10-(4-hydroxy-3,5-dimethoxyphenyl)-4,6,13-trioxatetracyclo[7.7.0.0_,_.0__,__]hexadeca-1(9),2,7-trien-12-one",Etoposide,588.6
267,[H][C@]12CN3C4=C([C@@H](COC(N)=O)[C@@]3(OC)[C@@]1([H])N2)C(=O)C(N)=C(C)C4=O,"[(4S,6S,7R,8S)-11-amino-7-methoxy-12-methyl-10,13-dioxo-2,5-diazatetracyclo[7.4.0.0_,_.0_,_]trideca-1(9),11-dien-8-yl]methyl carbamate",Mitomycin C,334.3
268,COC1=CC=C(C[C@H](N)C(=O)N[C@@H]2[C@@H](CO)O[C@H]([C@@H]2O)N2C=NC3=C2N=CN=C3N(C)C)C=C1,"(2S)-2-amino-N-[(2S,3S,4R,5R)-5-[6-(dimethylamino)-9H-purin-9-yl]-4-hydroxy-2-(hydroxymethyl)oxolan-3-yl]-3-(4-methoxyphenyl)propanamide",Puromycin,471.5
269,CS(O)(=O)=O.CC(C)NC1=CC=CN=C1N1CCN(CC1)C(=O)C1=CC2=C(N1)C=CC(NS(C)(=O)=O)=C2,N-[2-(4-{3-[(propan-2-yl)amino]pyridin-2-yl}piperazine-1-carbonyl)-1H-indol-5-yl]methanesulfonamide; methanesulfonic acid,Delavirdine mesylate,552.7
270,CC[C@@]1(O)C(=O)OCC2=C1C=C1N(CC3=CC4=C(C=CC=C4O)N=C13)C2=O,"(19S)-19-ethyl-8,19-dihydroxy-17-oxa-3,13-diazapentacyclo[11.8.0.0_,__.0_,_.0__,__]henicosa-1(21),2,4(9),5,7,10,15(20)-heptaene-14,18-dione",10-Hydroxycamptothecin,364.4
271,COC1=CC=CC2=C1C(=O)C1=C(O)C3=C(C[C@](O)(C[C@@H]3O[C@H]3C[C@H](N)[C@H](O)[C@H](C)O3)C(C)=O)C(O)=C1C2=O,"(8S,10S)-8-acetyl-10-{[(2R,4S,5S,6S)-4-amino-5-hydroxy-6-methyloxan-2-yl]oxy}-6,8,11-trihydroxy-1-methoxy-5,7,8,9,10,12-hexahydrotetracene-5,12-dione",Daunorubicin,527.5
272,Cl.COC1=CC=CC2=C1C(=O)C1=C(C(O)=C3C[C@](O)(C[C@H](O[C@H]4C[C@H](N)[C@H](O)[C@H](C)O4)C3=C1O)C(=O)CO)C2=O,"(8S,10S)-10-{[(2R,4S,5S,6S)-4-amino-5-hydroxy-6-methyloxan-2-yl]oxy}-6,8,11-trihydroxy-8-(2-hydroxyacetyl)-1-methoxy-5,7,8,9,10,12-hexahydrotetracene-5,12-dione hydrochloride",Doxorubicin ,580
273,Cl.Cl.OC(=O)COCCN1CCN(CC1)C(C1=CC=CC=C1)C1=CC=C(Cl)C=C1,2-(2-{4-[(4-chlorophenyl)(phenyl)methyl]piperazin-1-yl}ethoxy)acetic acid dihydrochloride,Cetirizine 2,461.8
274,CC1=CC=C(C=C1)S(O)(=O)=O.CC1=CC=C(C=C1)S(O)(=O)=O.CS(=O)(=O)CCNCC1=CC=C(O1)C1=CC2=C(C=C1)N=CN=C2NC1=CC(Cl)=C(OCC2=CC=CC(F)=C2)C=C1,bis(4-methylbenzene-1-sulfonic acid); N-{3-chloro-4-[(3-fluorophenyl)methoxy]phenyl}-6-(5-{[(2-methanesulfonylethyl)amino]methyl}furan-2-yl)quinazolin-4-amine,Lapatinib ditosylate,925.5
275,COC(=O)C1=C(O)C=CC=C1,methyl 2-hydroxybenzoate,Methyl salicylate,152.1
276,CCC1=CC=C(CCOC2=CC=C(CC3SC(=O)NC3=O)C=C2)N=C1,"5-({4-[2-(5-ethylpyridin-2-yl)ethoxy]phenyl}methyl)-1,3-thiazolidine-2,4-dione",Pioglitazone,356.4
277,O=C(NC1=CC=CC2=C1OC(=CC2=O)C1=NN=NN1)C1=CC=C(OCCCCC2=CC=CC=C2)C=C1,"N-[4-oxo-2-(1H-1,2,3,4-tetrazol-5-yl)-4H-chromen-8-yl]-4-(4-phenylbutoxy)benzamide",Pranlukast,481.5
278,CCN(C)C(=O)OC1=CC(=CC=C1)[C@H](C)N(C)C,3-[(1S)-1-(dimethylamino)ethyl]phenyl N-ethyl-N-methylcarbamate,Rivastigmine,250.3
279,CS(=O)(=O)C1=CC=C(C=C1)C1=C(C(=O)OC1)C1=CC=CC=C1,"4-(4-methanesulfonylphenyl)-3-phenyl-2,5-dihydrofuran-2-one",Rofecoxib,314.4
280,[H][C@@]12CCCN1C(=O)[C@H](CC1=CC=CC=C1)N1C(=O)[C@](C)(NC(=O)[C@H]3CN(C)[C@]4([H])CC5=CNC6=C5C(=CC=C6)C4=C3)O[C@@]21O,"(4R,7R)-N-[(1S,2S,4R,7S)-7-benzyl-2-hydroxy-4-methyl-5,8-dioxo-3-oxa-6,9-diazatricyclo[7.3.0.0_,_]dodecan-4-yl]-6-methyl-6,11-diazatetracyclo[7.6.1.0_,_.0__,__]hexadeca-1(15),2,9,12(16),13-pentaene-4-carboxamide",Ergotamine ,581.7
281,CC1=C(CC(O)=O)C2=C(C=CC(F)=C2)\C1=C\C1=CC=C(C=C1)S(C)=O,2-[(1E)-5-fluoro-1-[(4-methanesulfinylphenyl)methylidene]-2-methyl-1H-inden-3-yl]acetic acid,Sulindac,356.4
282,CCCC(CCC)C(O)=O,2-propylpentanoic acid,Valproic acid,144.2
283,[H][C@@]12CC[C@H]([C@H](C)\C=C\[C@@H](O)C3CC3)[C@@]1(C)CCC\C2=C/C=C1/C[C@@H](O)C[C@H](O)C1=C,"(1R,3S,5Z)-5-{2-[(1R,3aS,4E,7aR)-1-[(2R,3E,5S)-5-cyclopropyl-5-hydroxypent-3-en-2-yl]-7a-methyl-octahydro-1H-inden-4-ylidene]ethylidene}-4-methylidenecyclohexane-1,3-diol",Calcipotriene,412.6
284,COC1=CC(=CC=C1CC1=CN(C)C2=C1C=C(NC(=O)OC1CCCC1)C=C2)C(=O)NS(=O)(=O)C1=C(C)C=CC=C1,cyclopentyl N-[3-({2-methoxy-4-[(2-methylbenzenesulfonyl)carbamoyl]phenyl}methyl)-1-methyl-1H-indol-5-yl]carbamate,Zafirlukast,575.7
285,CC(N(O)C(N)=O)C1=CC2=CC=CC=C2S1,1-[1-(1-benzothiophen-2-yl)ethyl]-1-hydroxyurea,Zileuton,236.3
286,NC(=N)C1=CC=C(OCCCCCOC2=CC=C(C=C2)C(N)=N)C=C1,4-{[5-(4-carbamimidoylphenoxy)pentyl]oxy}benzene-1-carboximidamide,Pentamidine,340.4
